говорит	грит
говорю	грю
тысяч	тыщ тыш
тысячу	тыщу тышу
его	иво
что-то	чо-то че-то чтото чето-то чота чото чот чето чё-то чёто чой-то чо-та че-та чё-та чёй-то чё-т шото че-т шо-то чо-т чойто чтой-то
что	чо чё че шо што чтоо чтооо
очень	оч ооочень оочень оооочень ооооочень
ничего	ниче ничо ничё
теперь	терь
вообще	ваще вобще ващще вооще вапще ваапще воще ваааще ащще вабще ващпе ваабще
когда-то	когдато
как-то	както
кто-то	ктото
из-за	изза
чтоб	шоб
конечно	канеш канешно канечно
в общем	вопщем вобщем вообщем
его	его
сегодня	седня сёдня
может	можт
сейчас	щас щаз ща шас сча сечас сечаз счаз
естественно	ессно
если б	еслиб
всё	всёёёё всёё всёёё
спасибо	спасиб спс пасиб пасибо
слушай	слу слуш
слышишь	слыш слышь
спокойной	спок
ночи	ноки нок
спокойной ночи	споки
по-моему	помойму помоему
что-нибудь	чонить ченить чтонибудь чтонить что-нить
кто-нибудь	ктонибудь ктонить
какой-нибудь	какойнить какойнибудь
как-нибудь	какнить
пожалуйста	пожалуста пжлста пажалуйста пажалуста плиз плииз плс пож пжл плизз пжт
всё-таки	всетаки все-таки
тоже	тож
только	тока
так	дык тааак таак
пиздец	здец
мда	мдя мдааа мдаа мдааа мде
интернет	инет
собственно	собссно
это 	це ето
почему	па-ачему пачему пчему пачму
горько	горь-ка-а горька горькааа
ура	ур-ра ур-а ураа урааа ура-ра-ра ура-а ураааа уррааа урааааа урра уррра ураа урррааа ураура
